"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3780","100072 (3780)","3477","100333 (3477)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",809,599,1091
"3780","100072 (3780)","3478","100231 (3478)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",715,514,993
"3780","100072 (3780)","3479","100294 (3479)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",597,434,820
"3780","100072 (3780)","3480","100262 (3480)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",898,647,1245
"3780","100072 (3780)","3481","100336 (3481)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",931,711,1217
"3780","100072 (3780)","3482","100375 (3482)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1079,831,1400
"3780","100072 (3780)","3483","406985 (3483)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1418,964,2085
"3780","100072 (3780)","3484","406657 (3484)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1467,1030,2088
"3780","100072 (3780)","3485","100233 (3485)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",818,597,1120
"3780","100072 (3780)","3486","406672 (3486)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1592,1099,2304
"3780","100072 (3780)","3488","100341 (3488)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",767,567,1036
"3780","100072 (3780)","3489","100255 (3489)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",802,573,1122
"3780","100072 (3780)","3490","406997 (3490)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1955,1402,2726
"3780","100072 (3780)","3493","406771 (3493)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1528,1046,2230
"3780","100072 (3780)","3494","100252 (3494)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",893,643,1240
"3780","100072 (3780)","3495","406983 (3495)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1719,1276,2314
"3780","100072 (3780)","3496","100241 (3496)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",559,397,785
"3780","100072 (3780)","3497","100342 (3497)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",864,651,1145
"3780","100072 (3780)","3498","407002 (3498)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1420,1094,1843
"3780","100072 (3780)","3501","100372 (3501)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1050,825,1336
"3780","100072 (3780)","3502","407004 (3502)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1379,949,2003
"3780","100072 (3780)","3504","100343 (3504)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",925,705,1212
"3780","100072 (3780)","3505","100232 (3505)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",685,499,939
"3780","100072 (3780)","3507","100374 (3507)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1135,871,1477
"3780","100072 (3780)","3509","100256 (3509)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",809,573,1141
"3780","100072 (3780)","3510","406620 (3510)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1654,1203,2272
"3780","100072 (3780)","3513","100344 (3513)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",993,758,1299
"3780","100072 (3780)","3514","406656 (3514)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1500,1053,2136
"3780","100072 (3780)","3515","406653 (3515)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1750,1223,2502
"3780","100072 (3780)","3520","100176 (3520)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",894,646,1235
"3780","100072 (3780)","3523","100373 (3523)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1125,853,1482
"3780","100072 (3780)","3524","100171 (3524)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",856,603,1213
"3780","100072 (3780)","3531","406615 (3531)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1593,1151,2203
"3780","100072 (3780)","3533","100242 (3533)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",542,372,788
"3780","100072 (3780)","3534","100183 (3534)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",739,519,1052
"3780","100072 (3780)","3535","407003 (3535)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1613,1191,2183
"3780","100072 (3780)","3536","406982 (3536)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1386,953,2014
"3780","100072 (3780)","3537","406893 (3537)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1790,1440,2224
"3780","100072 (3780)","3538","100181 (3538)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",675,465,978
"3780","100072 (3780)","3539","100351 (3539)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",732,536,999
"3780","100072 (3780)","3540","100221 (3540)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",685,486,965
"3780","100072 (3780)","3543","100243 (3543)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",493,340,713
"3780","100072 (3780)","3544","406651 (3544)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1711,1179,2481
"3780","100072 (3780)","3545","100354 (3545)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",834,618,1124
"3780","100072 (3780)","3546","100162 (3546)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",751,524,1075
"3780","100072 (3780)","3547","100163 (3547)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",793,534,1175
"3780","100072 (3780)","3548","100362 (3548)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",996,771,1286
"3780","100072 (3780)","3549","100093 (3549)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",834,571,1217
"3780","100072 (3780)","3550","100182 (3550)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",627,411,955
"3780","100072 (3780)","3551","100172 (3551)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",873,620,1229
"3780","100072 (3780)","3552","100363 (3552)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1068,827,1378
"3780","100072 (3780)","3553","100361 (3553)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",909,682,1210
"3780","100072 (3780)","3555","100222 (3555)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",627,445,881
"3780","100072 (3780)","3556","100173 (3556)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",804,574,1125
"3780","100072 (3780)","3557","100174 (3557)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",892,625,1272
"3780","100072 (3780)","3558","406981 (3558)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1412,972,2050
"3780","100072 (3780)","3560","100177 (3560)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",906,634,1293
"3780","100072 (3780)","3561","100166 (3561)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",686,480,979
"3780","100072 (3780)","3562","100365 (3562)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1085,815,1443
"3780","100072 (3780)","3563","100167 (3563)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",780,549,1108
"3780","100072 (3780)","3565","100175 (3565)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",745,517,1071
"3780","100072 (3780)","3566","100168 (3566)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",785,567,1086
"3780","100072 (3780)","3567","100178 (3567)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",797,531,1195
"3780","100072 (3780)","3569","100179 (3569)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",786,561,1099
"3780","100072 (3780)","3570","100164 (3570)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",652,447,950
"3780","100072 (3780)","3571","100165 (3571)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",619,435,880
"3780","100072 (3780)","3572","406780 (3572)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1905,1339,2708
"3780","100072 (3780)","3573","100191 (3573)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",470,320,690
"3780","100072 (3780)","3574","10017A (3574)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",766,541,1083
"3780","100072 (3780)","3576","10017B (3576)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",729,510,1041
"3780","100072 (3780)","3577","10017F (3577)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",843,611,1161
"3780","100072 (3780)","3578","100011 (3578)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",655,456,938
"3780","100072 (3780)","3580","100184 (3580)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",668,460,970
"3780","100072 (3780)","3581","10017E (3581)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",801,571,1121
"3780","100072 (3780)","3582","100101 (3582)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",669,432,1035
"3780","100072 (3780)","3583","100012 (3583)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",755,526,1081
"3780","100072 (3780)","3584","100091 (3584)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",578,404,825
"3780","100072 (3780)","3585","10017D (3585)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",839,608,1156
"3780","100072 (3780)","3586","100013 (3586)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",724,524,999
"3780","100072 (3780)","3587","10017C (3587)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",793,531,1183
