route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14287,3,8618107,Geary + 33rd Avenue,0,111,167662
14287,3,8618102,Geary + 33rd Avenue,0,110,167662
14287,3,8618098,Geary + 33rd Avenue,0,109,167662
14287,3,8618095,Geary + 33rd Avenue,0,108,167662
14287,3,8618079,Geary + 33rd Avenue,0,106,167662
14287,3,8618076,Geary + 33rd Avenue,0,105,167662
14287,3,8618074,Geary + 33rd Avenue,0,104,167662
14287,3,8618073,Geary + 33rd Avenue,0,103,167662
14287,3,8618072,Geary + 33rd Avenue,0,102,167662
14287,3,8618071,Geary + 33rd Avenue,0,101,167662
14287,3,8618070,Geary + 33rd Avenue,0,112,167662
14287,3,8618065,Geary + 33rd Avenue,0,113,167662
14287,3,8618064,Geary + 33rd Avenue,0,114,167662
14287,3,8617987,Geary + 33rd Avenue,0,115,167662
14287,3,8617980,Geary + 33rd Avenue,0,107,167662
14287,2,8617820,Geary + 33rd Avenue,0,104,167662
14287,2,8617788,Geary + 33rd Avenue,0,115,167662
14287,2,8617781,Geary + 33rd Avenue,0,107,167662
14287,2,8617778,Geary + 33rd Avenue,0,111,167662
14287,2,8617773,Geary + 33rd Avenue,0,110,167662
14287,2,8617769,Geary + 33rd Avenue,0,109,167662
14287,2,8617766,Geary + 33rd Avenue,0,108,167662
14287,2,8617761,Geary + 33rd Avenue,0,106,167662
14287,2,8617758,Geary + 33rd Avenue,0,105,167662
14287,2,8617756,Geary + 33rd Avenue,0,103,167662
14287,2,8617755,Geary + 33rd Avenue,0,102,167662
14287,2,8617754,Geary + 33rd Avenue,0,101,167662
14287,2,8617753,Geary + 33rd Avenue,0,112,167662
14287,2,8617748,Geary + 33rd Avenue,0,113,167662
14287,2,8617747,Geary + 33rd Avenue,0,114,167662
14287,1,8617345,Geary + 33rd Avenue,0,101,167662
14287,1,8617309,Geary + 33rd Avenue,0,151,167662
14287,1,8617308,Geary + 33rd Avenue,0,102,167662
14287,1,8617307,Geary + 33rd Avenue,0,103,167662
14287,1,8617306,Geary + 33rd Avenue,0,104,167662
14287,1,8617305,Geary + 33rd Avenue,0,105,167662
14287,1,8617304,Geary + 33rd Avenue,0,106,167662
14287,1,8617303,Geary + 33rd Avenue,0,107,167662
14287,1,8617302,Geary + 33rd Avenue,0,108,167662
14287,1,8617301,Geary + 33rd Avenue,0,109,167662
14287,1,8617300,Geary + 33rd Avenue,0,110,167662
14287,1,8617299,Geary + 33rd Avenue,0,111,167662
14287,1,8617298,Geary + 33rd Avenue,0,113,167662
14287,1,8617297,Geary + 33rd Avenue,0,112,167662
14287,1,8617296,Geary + 33rd Avenue,0,114,167662
14287,1,8617295,Geary + 33rd Avenue,0,115,167662
14287,3,8618106,Geary + 33rd Avenue,0,102,167661
14287,3,8618105,Geary + 33rd Avenue,0,108,167661
14287,3,8618103,Geary + 33rd Avenue,0,105,167661
14287,3,8618101,Geary + 33rd Avenue,0,101,167661
14287,3,8618100,Geary + 33rd Avenue,0,107,167661
14287,3,8618099,Geary + 33rd Avenue,0,104,167661
14287,3,8618097,Geary + 33rd Avenue,0,103,167661
14287,3,8618096,Geary + 33rd Avenue,0,106,167661
14287,3,8618094,Geary + 33rd Avenue,0,113,167661
14287,3,8618093,Geary + 33rd Avenue,0,106,167661
14287,3,8618092,Geary + 33rd Avenue,0,114,167661
14287,3,8618091,Geary + 33rd Avenue,0,101,167661
14287,3,8618090,Geary + 33rd Avenue,0,105,167661
14287,3,8618089,Geary + 33rd Avenue,0,112,167661
14287,3,8618088,Geary + 33rd Avenue,0,105,167661
14287,3,8618087,Geary + 33rd Avenue,0,104,167661
14287,3,8618086,Geary + 33rd Avenue,0,113,167661
14287,3,8618085,Geary + 33rd Avenue,0,102,167661
14287,3,8618084,Geary + 33rd Avenue,0,105,167661
14287,3,8618083,Geary + 33rd Avenue,0,102,167661
14287,3,8618082,Geary + 33rd Avenue,0,105,167661
14287,3,8618081,Geary + 33rd Avenue,0,101,167661
14287,3,8618080,Geary + 33rd Avenue,0,104,167661
14287,3,8618078,Geary + 33rd Avenue,0,103,167661
14287,3,8618077,Geary + 33rd Avenue,0,102,167661
